Country_Code,Country_Name,Region,Income_Group,GDP_per_capita,Life_Expectancy,Child_Mortality,Access_Electricity,Health_Expenditure_Pct,Inflation_Rate,Trade_Pct_GDP,Internet_Usage_Pct,Log_GDP_per_capita,Income_Group_Code,Cluster
NER,Niger,Sub-Saharan Africa,Low income,541.2658198702726,60.031,120.8,18.5,5.66642094,-2.489792650708549,39.28930367329605,11.28549957,2.7342122308238874,0,1
GUM,Guam,East Asia & Pacific,High income,39274.943142489865,76.645,20.0,100.0,4.99218798,1.7143709576340114,78.06451612903226,63.6493903087575,4.594126622653094,3,0
MYS,Malaysia,East Asia & Pacific,Upper middle income,10920.191763972032,75.9,8.2,100.0,3.83991051,0.6628918657643263,123.02856202794288,84.1871450078281,4.038270032899465,2,0
IMN,Isle of Man,Europe & Central Asia,High income,87127.55179774042,80.74,4.05,100.0,7.10601497,1.763735865288415,96.18156500978648,82.2598911708476,4.940160495493079,3,2
BGR,Bulgaria,Europe & Central Asia,High income,10354.2500414088,75.11219512195122,6.7,99.2,7.11813641,3.103729447967714,125.26041507508644,67.9469809417603,4.0151605899791605,3,0
MAC,"Macao SAR, China",East Asia & Pacific,High income,81882.69645238694,83.92926829268293,20.0,100.0,4.99218798,2.751930810519751,115.23129893554976,86.4679257062588,4.913197439665099,3,2
MWI,Malawi,Sub-Saharan Africa,Low income,580.8891397624755,64.995,51.3,11.2,6.37021732,9.370836056056698,44.19545246357976,11.05860043,2.764840251702359,0,1
URY,Uruguay,Latin America & Caribbean,High income,18315.73503774368,77.503,7.5,99.9,9.240695,7.881988708796191,49.74486607246646,83.3515337667548,4.26284806313863,3,2
SVK,Slovak Republic,Europe & Central Asia,High income,19406.0589683582,77.66585365853659,5.9,100.0,6.91102982,2.664561334254404,183.72260863123552,82.8536605021784,4.287959725466152,3,2
SLB,Solomon Islands,East Asia & Pacific,Lower middle income,2223.658909424658,69.981,23.1,69.4,4.43728065,1.63485544012247,82.99856590205522,22.48880005,3.3472634332449283,1,0
FSM,"Micronesia, Federated States of",East Asia & Pacific,Upper middle income,3581.726845722784,66.196,26.4,80.1,11.87363148,1.923851707879231,106.58227848101264,37.97370148,3.554213697946334,2,0
POL,Poland,Europe & Central Asia,High income,15874.522053125382,77.90487804878049,4.5,100.0,6.38906956,2.227478809382914,101.58103381737295,80.4359068768673,4.200728015605824,3,2
